AL	Alabama	Montgomery	Dec 14 1819	4863300
AK	Alaska	Juneau	Jan 3 1959	741894
AZ	Arizona	Phoenix	Feb 14 1912	6931071
AR	Arkansas	Little Rock	Jun 15 1836	2988248
CA	California	Sacramento	Sep 9 1850	39250017
CO	Colorado	Denver	Aug 1 1876	5540545
CT	Connecticut	Hartford	Jan 9 1788	3576452
DE	Delaware	Dover	Dec 7 1787	952065
FL	Florida	Tallahassee	Mar 3 1845	20612439
GA	Georgia	Atlanta	Jan 2 1788	10310371
HI	Hawaii	Honolulu	Aug 21 1959	1428557
ID	Idaho	Boise	Jul 3 1890	1683140
IL	Illinois	Springfield	Dec 3 1818	12801539
IN	Indiana	Indianapolis	Dec 11 1816	6633053
IA	Iowa	Des Moines	Dec 28 1846	3134693
KS	Kansas	Topeka	Jan 29 1861	2907289
KY	Kentucky	Frankfort	Jun 1 1792	4436974
LA	Louisiana	Baton Rouge	Apr 30 1812	4681666
ME	Maine	Augusta	Mar 15 1820	1331479
MD	Maryland	Annapolis	Apr 28 1788	6016447
MA	Massachusetts	Boston	Feb 6 1788	6811779
MI	Michigan	Lansing	Jan 26 1837	9928300
MN	Minnesota	St. Paul	May 11 1858	5519952
MS	Mississippi	Jackson	Dec 10 1817	2988726
MO	Missouri	Jefferson City	Aug 10 1821	6093000
MT	Montana	Helena	Nov 8 1889	1042520
NE	Nebraska	Lincoln	Mar 1 1867	1907116
NV	Nevada	Carson City	Oct 31 1864	2940058
NH	New Hampshire	Concord	Jun 21 1788	1334795
NJ	New Jersey	Trenton	Dec 18 1787	8944469
NM	New Mexico	Santa Fe	Jan 6 1912	2081015
NY	New York	Albany	Jul 26 1788	19745289
NC	North Carolina	Raleigh	Nov 21 1789	10146788
ND	 North Dakota	Bismarck	Nov 2 1889	757952
OH	Ohio	Columbus	Mar 1 1803	11614373
OK	Oklahoma	Oklahoma City	Nov 16 1907	3923561
OR	Oregon	Salem	Feb 14 1859	4093465
PA	Pennsylvania	Harrisburg	Dec 12 1787	12784227
RI	Rhode Island	Providence	May 29 1790	1056426
SC	South Carolina	Columbia	May 23 1788	4961119
SD	South Dakota	Pierre	Nov 2 1889	865454
TN	Tennessee	Nashville	Jun 1 1796	6651194
TX	Texas	Austin	Dec 29 1845	27862596
UT	Utah	Salt Lake City	Jan 4 1896	3051217
VT	Vermont	Montpelier	Mar 4 1791	624594
VA	Virginia	Richmond	Jun 25 1788	8411808
WA	Washington	Olympia	Nov 11 1889	7288000
WV	West Virginia	Charleston	Jun 20 1863	1831102
WI	Wisconsin	Madison	May 29 1848	5778708
WY	Wyoming	Cheyenne	Jul 10 1890	585501
